Team,Goal_Difference,Total_Goals,Total_Yellow_Cards,Total_Red_Cards,Predicted_Result,Win_Probability
Portugal,1.6,2.2,1.8,0.08,Team1 Win,0.9496668662649698
Germany,1.5,2.0,1.7,0.07,Team1 Win,0.9496668662649698
